t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1
69269.42921794693,370.0000000000002,-5.263777669052894e+19,0.0,1.062535669144272e+17,1.0306201559985771e+21,7.573960909679686e+20,2.731178114636927e+20
69498.19078033719,370.0000000000002,-5.263778921371035e+19,0.0,1.0643272598879034e+17,1.032320609727802e+21,7.586467853560317e+20,2.7356739164578166e+20
69749.82849896645,370.0000000000002,-5.2637802422016115e+19,0.0,1.0662210093530106e+17,1.0341877851220262e+21,7.600183051376998e+20,2.740628578833919e+20
69978.5900613567,370.0000000000002,-5.263781481526562e+19,0.0,1.0680063140101128e+17,1.0358823821994733e+21,7.612646893993963e+20,2.745108921686765e+20
70230.22777998597,370.0000000000002,-5.2637827888579854e+19,0.0,1.0698936601354688e+17,1.0377431492456938e+21,7.626315028655276e+20,2.7500465701415168e+20
70458.98934237623,370.0000000000002,-5.263784015407996e+19,0.0,1.0716727371128042e+17,1.0394319497763827e+21,7.638736227642336e+20,2.754511597384369e+20
70710.62706100549,370.0000000000002,-5.263785309473219e+19,0.0,1.0735537512564338e+17,1.0412863740039332e+21,7.652357768174692e+20,2.7594324181133902e+20
70939.38862339575,370.0000000000002,-5.263786523461664e+19,0.0,1.0753266583435168e+17,1.0429694370718653e+21,7.664736774434736e+20,2.7638822696255645e+20
71191.02634202501,370.0000000000002,-5.26378780448769e+19,0.0,1.0772014100703642e+17,1.044817582901919e+21,7.678312183829711e+20,2.7687864437794066e+20
71419.78790441527,370.0000000000002,-5.263789006123656e+19,0.0,1.078968205121509e+17,1.0464949665934854e+21,7.69064944080844e+20,2.7732212569213085e+20
71671.42562304453,370.0000000000002,-5.26379027433125e+19,0.0,1.0808367615145058e+17,1.0483368973655579e+21,7.704179177366823e+20,2.778108959527235e+20
71900.18718543478,370.0000000000002,-5.263791463820297e+19,0.0,1.082597503442309e+17,1.0500086587918917e+21,7.716475119396216e+20,2.7825288710192598e+20
72151.82490406405,370.0000000000002,-5.263792719423493e+19,0.0,1.0844599281003509e+17,1.0518444367896233e+21,7.729959638687681e+20,2.7874002692804424e+20
72380.5864664543,370.0000000000002,-5.263793896968616e+19,0.0,1.0862146782090662e+17,1.0535106321078459e+21,7.742214688049008e+20,2.7918054183512474e+20
72632.22418508357,370.0000000000002,-5.2637951401740804e+19,0.0,1.0880710299606032e+17,1.0553403185840256e+21,7.755654445286903e+20,2.7966606695233932e+20
72860.98574747382,370.0000000000002,-5.26379630597675e+19,0.0,1.089819853469721e+17,1.0570010030176056e+21,7.767869007940386e+20,2.8010512023821946e+20
73112.62346610309,370.0000000000002,-5.263797536983105e+19,0.0,1.0916701850177518e+17,1.0588246582182351e+21,7.78126446020977e+20,2.805890451787568e+20
73341.38502849334,370.0000000000002,-5.263798691244125e+19,0.0,1.0934131523629467e+17,1.0604798860768999e+21,7.7934389207378e+20,2.8102665268788422e+20
73593.02274712261,370.0000000000002,-5.2637999102467555e+19,0.0,1.0952575173336821e+17,1.062297569251023e+21,7.806790566000768e+20,2.815089868992139e+20
73869.82423761481,370.0000000000002,-5.263801214180682e+19,0.0,1.097237954194555e+17,1.0642934114340129e+21,7.821438395974286e+20,2.8203984804116516e+20
74121.46195624408,370.0000000000002,-5.263802459076214e+19,0.0,1.099137789611839e+17,1.0661046807918306e+21,7.834759449182359e+20,2.825188220946327e+20
74350.22351863433,370.0000000000002,-5.263803615727146e+19,0.0,1.100907958642659e+17,1.0677486433261958e+21,7.846861302681493e+20,2.829524222621815e+20
74601.8612372636,370.0000000000002,-5.263804818008795e+19,0.0,1.1027514059851861e+17,1.069553976719881e+21,7.860124800039335e+20,2.8343122157534963e+20
74878.6627277558,370.0000000000002,-5.263806096780266e+19,0.0,1.1047200382934216e+17,1.0715363037944489e+21,7.874673865425023e+20,2.8395844524811642e+20
75130.30044638507,370.0000000000002,-5.263807316431343e+19,0.0,1.1066067618686936e+17,1.0733353502146342e+21,7.887904908247817e+20,2.8443419871366463e+20
75359.06200877532,370.0000000000002,-5.263808449704519e+19,0.0,1.1083647762050827e+17,1.0749682544668339e+21,7.899925274672333e+20,2.8486489052198008e+20
75610.69972740459,370.0000000000002,-5.263809628141625e+19,0.0,1.1101961651878376e+17,1.0767614837520073e+21,7.913099977392584e+20,2.853404663962271e+20
75887.50121789679,370.0000000000002,-5.263810881571016e+19,0.0,1.1121518598445187e+17,1.0787305664544628e+21,7.927551930723196e+20,2.8586415819615873e+20
76139.13893652605,370.0000000000002,-5.2638120767620825e+19,0.0,1.1140256721366309e+17,1.0805176340869769e+21,7.940694741027991e+20,2.863367574169648e+20
76367.90049891631,370.0000000000002,-5.263813187426938e+19,0.0,1.1157717682818667e+17,1.0821397002513524e+21,7.952635279986072e+20,2.867645950759162e+20
76619.53821754557,370.0000000000002,-5.263814342802713e+19,0.0,1.11759134097437e+17,1.0839210656709196e+21,7.965722933576113e+20,2.8723701317921076e+20
76896.33970803778,370.0000000000002,-5.263815571727498e+19,0.0,1.1195343675124016e+17,1.0858771659503292e+21,7.980079616530008e+20,2.8775725086057657e+20
77147.97742666704,370.0000000000002,-5.263816743252188e+19,0.0,1.1213955086936392e+17,1.087652490933603e+21,7.993135952888085e+20,2.8822675609392628e+20
77376.7389890573,370.0000000000002,-5.263817832041196e+19,0.0,1.1231299112051653e+17,1.089263932005834e+21,8.004998292587272e+20,2.8865178975598684e+20
77628.37670768656,370.0000000000002,-5.263818965109798e+19,0.0,1.1249379124167798e+17,1.0910336659573062e+21,8.018000582680088e+20,2.8912111389805484e+20
77905.17819817876,370.0000000000002,-5.26382017032883e+19,0.0,1.1268685305861411e+17,1.0929770372396836e+21,8.03226378644222e+20,2.8963797174240153e+20
78156.81591680803,370.0000000000002,-5.263821318943016e+19,0.0,1.128717229648825e+17,1.094740848058945e+21,8.04523536363207e+20,2.901044399727731e+20
78385.57747919828,370.0000000000002,-5.263822386557163e+19,0.0,1.1304401581457467e+17,1.0963418701492873e+21,8.057021085282144e+20,2.9052671760525833e+20
78637.21519782755,370.0000000000002,-5.263823498038253e+19,0.0,1.1322368239151669e+17,1.0981001975430112e+21,8.069939654912068e+20,2.9099300836941326e+20
78914.01668831975,370.0000000000002,-5.2638246803124535e+19,0.0,1.134155281738016e+17,1.1000310851234949e+21,8.084111126487698e+20,2.915065569465526e+20
79165.65440694902,370.0000000000002,-5.263825806745326e+19,0.0,1.1359917716747942e+17,1.1017836029394067e+21,8.096999645628869e+20,2.9197003919935416e+20
79442.45589744122,370.0000000000002,-5.263827000796691e+19,0.0,1.1379420191931574e+17,1.1037080673849353e+21,8.111134776529373e+20,2.924807955300783e+20
79694.09361607049,370.0000000000002,-5.263828122410784e+19,0.0,1.1397823690568187e+17,1.1054547581131146e+21,8.12398240029969e+20,2.9294253984623827e+20
