t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1
296930.87222114514,294.9999999999073,-21458391885096.36,-14835648545.472424,1.0942786473528617e+19,2.63556908295912e+19,1.5412904356062304e+19
296980.87222114514,294.9999999999073,-21437318790219.68,-14835714444.635715,1.0941650211458085e+19,2.6354618221851062e+19,1.5412968010392746e+19
297030.87222114514,294.9999999999073,-21416326103265.254,-14835780322.66308,1.0940514990085792e+19,2.6353546663742034e+19,1.5413031673656609e+19
297080.87222114514,294.9999999999073,-21395413137426.867,-14835846179.582125,1.093938080545183e+19,2.6352476151278645e+19,1.541309534582698e+19
297130.87222114514,294.9999999999073,-21374579215912.637,-14835912015.420403,1.093824765363078e+19,2.6351406680507523e+19,1.5413159026876592e+19
297180.87222114514,294.9999999999073,-21353823671731.734,-14835977830.205414,1.0937115530730254e+19,2.635033824751065e+19,1.5413222716780388e+19
297230.87222114514,294.9999999999073,-21333145847487.285,-14836043623.964615,1.0935984432890112e+19,2.6349270848401535e+19,1.5413286415511663e+19
297280.87222114514,294.9999999999073,-21312545095174.953,-14836109396.725403,1.0934854356281942e+19,2.634820447932683e+19,1.5413350123044968e+19
297330.87222114514,294.9999999999073,-21292020775987.17,-14836175148.515125,1.0933725297111087e+19,2.6347139136465183e+19,1.5413413839354008e+19
297380.87222114514,294.9999999999073,-21271572260122.9,-14836240879.361086,1.0932597251611677e+19,2.6346074816025743e+19,1.5413477564414167e+19
297430.87222114514,294.9999999999073,-21251198926602.332,-14836306589.290514,1.0931470216050469e+19,2.634501151424991e+19,1.5413541298199876e+19
297480.87222114514,294.9999999999073,-21230900163086.977,-14836372278.33061,1.0930344186723473e+19,2.634394922740896e+19,1.5413605040685715e+19
297530.87222114514,294.9999999999073,-21210675365704.395,-14836437946.508516,1.0929219159957922e+19,2.6342887951805043e+19,1.5413668791846885e+19
297580.87222114514,294.9999999999073,-21190523938877.668,-14836503593.851313,1.092809513210975e+19,2.6341827683768783e+19,1.5413732551658795e+19
297630.87222114514,294.9999999999073,-21170445295159.6,-14836569220.386042,1.0926972099564632e+19,2.634076841966165e+19,1.5413796320096913e+19
297680.87222114514,294.9999999999073,-21150438855071.01,-14836634826.139698,1.0925850058736126e+19,2.633971015587346e+19,1.5413860097136794e+19
297730.87222114514,294.9999999999073,-21130504046943.566,-14836700411.139196,1.0924729006067513e+19,2.6338652888821797e+19,1.5413923882754357e+19
297780.87222114514,294.9999999999073,-21110640306766.59,-14836765975.411444,1.092360893802913e+19,2.6337596614954275e+19,1.541398767692534e+19
297830.87222114514,294.9999999999073,-21090847078037.887,-14836831518.98326,1.0922489851119333e+19,2.6336541330745455e+19,1.541405147962588e+19
297880.87222114514,294.9999999999073,-21071123811618.348,-14836897041.88143,1.092137174186354e+19,2.6335487032695706e+19,1.5414115290832525e+19
297930.87222114514,294.9999999999073,-21051469965590.434,-14836962544.132689,1.0920254606814431e+19,2.6334433717336035e+19,1.5414179110521401e+19
297980.87222114514,294.9999999999073,-21031885005120.113,-14837028025.763712,1.0919138442551431e+19,2.6333381381220737e+19,1.5414242938669386e+19
298030.87222114514,294.9999999999073,-21012368402322.383,-14837093486.80114,1.0918023245679536e+19,2.633233002093178e+19,1.5414306775252847e+19
298080.87222114514,294.9999999999073,-20992919636130.14,-14837158927.271542,1.0916909012829915e+19,2.633127963307893e+19,1.5414370620249432e+19
298130.87222114514,294.9999999999073,-20973538192166.344,-14837224347.201462,1.0915795740659622e+19,2.6330230214295437e+19,1.5414434473635373e+19
298180.87222114514,294.9999999999073,-20954223562619.348,-14837289746.617369,1.0914683425850823e+19,2.6329181761238983e+19,1.541449833538859e+19
298230.87222114514,294.9999999999073,-20934975246121.28,-14837355125.545698,1.091357206511003e+19,2.6328134270595953e+19,1.541456220548571e+19
298280.87222114514,294.9999999999073,-20915792747629.473,-14837420484.012835,1.0912461655168864e+19,2.6327087739073626e+19,1.5414626083905018e+19
298330.87222114514,294.9999999999073,-20896675578310.688,-14837485822.045105,1.0911352192783817e+19,2.632604216340742e+19,1.5414689970623857e+19
298380.87222114514,294.9999999999073,-20877623255428.254,-14837551139.668793,1.091024367473431e+19,2.632499754035498e+19,1.5414753865619823e+19
298430.87222114514,294.9999999999073,-20858635302231.832,-14837616436.910124,1.0909136097824154e+19,2.632395386669518e+19,1.5414817768871307e+19
298480.87222114514,294.9999999999073,-20839711247849.863,-14837681713.795296,1.0908029458879855e+19,2.6322911139236037e+19,1.5414881680355731e+19
298530.87222114514,294.9999999999073,-20820850627184.53,-14837746970.350431,1.090692375475201e+19,2.632186935480449e+19,1.5414945600052427e+19
298580.87222114514,294.9999999999073,-20802052980809.285,-14837812206.601616,1.090581898231332e+19,2.632082851025146e+19,1.541500952793807e+19
298630.87222114514,294.9999999999073,-20783317854868.66,-14837877422.574888,1.0904715138459304e+19,2.63197886024522e+19,1.5415073463992832e+19
298680.87222114514,294.9999999999073,-20764644800980.59,-14837942618.296236,1.0903612220107821e+19,2.631874962830252e+19,1.5415137408194148e+19
298730.87222114514,294.9999999999073,-20746033376140.793,-14838007793.791594,1.0902510224198474e+19,2.6317711584720253e+19,1.541520136052164e+19
298780.87222114514,294.9999999999073,-20727483142629.527,-14838072949.08685,1.0901409147693025e+19,2.631667446864634e+19,1.5415265320953582e+19
298830.87222114514,294.9999999999073,-20708993667920.42,-14838138084.20785,1.0900308987574655e+19,2.631563827704343e+19,1.5415329289469065e+19
298880.87222114514,294.9999999999073,-20690564524591.38,-14838203199.180386,1.0899209740846846e+19,2.631460300689416e+19,1.5415393266047791e+19
298930.87222114514,294.9999999999073,-20672195290237.516,-14838268294.030203,1.0898111404536097e+19,2.631356865520404e+19,1.541545725066821e+19
298980.87222114514,294.9999999999073,-20653885547386.035,-14838333368.782991,1.0897013975687428e+19,2.6312535218997494e+19,1.5415521243310176e+19
299030.87222114514,294.9999999999073,-20635634883413.074,-14838398423.464403,1.0895917451368075e+19,2.6311502695321043e+19,1.5415585243952996e+19
299080.87222114514,294.9999999999073,-20617442890462.34,-14838463458.10004,1.0894821828664689e+19,2.631047108124089e+19,1.5415649252576377e+19
